keys,it
Set size to {value},Imposta dimensione a {value}
Set animation to {name} (play),Imposta animazione a {name} (riproduci)
Stop animation,Ferma animazione
Play,Riproduci
Stop,Ferma
Set angle toward {target},Imposta angolo verso {target}
Go to layout {path},Vai al layout {path}
Restart layout,Riavvia layout
Set time scale to 0 (pause),Imposta scala temporale a 0 (pausa)
Set time scale to 1,Imposta scala temporale a 1
Set time scale to {value},Imposta scala temporale a {value}
count,conteggio
child count,numero di figli
(layer),(livello)
viewport width,larghezza viewport
viewport height,altezza viewport
mouse position,posizione del mouse
time,tempo
time in ms,tempo in ms
fps,fps
angle,angolo
angle (radians),angolo (radianti)
may be missing,potrebbe mancare
On collision with,In collisione con
On stopped overlapping,Quando finisce la sovrapposizione
Create object,Crea oggetto
as,come
copy of,copia di
group,gruppo
children,figli
children of,figli di
in,in
action,azione
condition,condizione
expression,espressione
this script - %d,questo script - %d
not published,non pubblicata
Insert a call to %s in this script.,Inserisce una chiamata a %s in questo script.
(global),(globale)
this script,questo script
behaviour,comportamento
autoload,autoload
1 row,1 riga
%d rows,%d righe
Objects,Oggetti
object,oggetto
Signals used,Segnali usati
%s in %s,%s in %s
Highlight rows,Evidenzia le righe
Select in scene,Seleziona nella scena
This object is no longer used by this file.,Questo file non usa più questo oggetto.
"Every object this file uses. Click one to highlight its rows, click it again to clear.","Ogni oggetto usato da questo file. Fai clic per evidenziare le sue righe, di nuovo per azzerare."
System,Sistema
Include,Includi
disabled,disattivato
Every %s seconds,Ogni %s secondi
(while running),(mentre è in esecuzione)
- open as a sheet,- apri come foglio
▸ run its,▸ esegue il suo
▸ Call,▸ Chiama
%d event,%d evento
%d events,%d eventi
%d row,%d riga
(unnamed region),(regione senza nome)
is a {type},è un {type}
{value} is one of {entries},{value} è uno di {entries}
{table} has key {key},{table} ha la chiave {key}
{list} contains {value},{list} contiene {value}
has function {verb},ha la funzione {verb}
has child {child},ha il figlio {child}
has item {key},ha l'elemento {key}
{file} exists,{file} esiste
On {action} released,Quando {action} rilasciato
On {action} pressed (this event),Quando {action} premuto (questo evento)
On {action} released (this event),Quando {action} rilasciato (questo evento)
{key} is down,{key} è premuto
{key} button is down,Il pulsante {key} è premuto
Log error {value},Registra errore {value}
Log warning {value},Registra avviso {value}
Log {value},Registra {value}
Assert {condition},Asserisci {condition}
Assert {condition} {message},Asserisci {condition} {message}
Set item {key} to {value} (section {section}),Imposta l'elemento {key} a {value} (sezione {section})
Write {text},Scrivi {text}
Save {file},Salva {file}
Load {file},Carica {file}
Open {file} for writing (as {handle}),Apri {file} in scrittura (come {handle})
Open {file} for reading (as {handle}),Apri {file} in lettura (come {handle})
Open {file} for reading and writing (as {handle}),Apri {file} in lettura e scrittura (come {handle})
Set collision with layer {layer} {state},Collisione con il livello {layer} {state}
Set collisions {state},Collisioni {state}
Restart,Riavvia
Apply impulse {value},Applica impulso {value}
Apply force {value},Applica forza {value}
Set velocity to {value},Imposta la velocità a {value}
Set angular velocity to {value},Imposta la velocità angolare a {value}
Start spraying,Inizia a emettere
Stop spraying,Smetti di emettere
Set zoom to {percent},Imposta lo zoom a {percent}
item {key},elemento {key}
item {key} (default {fallback}),elemento {key} (predefinito {fallback})
on,attiva
off,disattiva
Physics,Fisica
Particles,Particelle
runs in editor,viene eseguito nell'editor
Set {what} {state},Imposta {what} {state}
Every tick (draw),Ogni tick (disegno)
Every tick (physics),Ogni tick (fisica)
input,input
unhandled input,input non gestito
unhandled key input,input tasti non gestito
activated,attivato
deactivated,disattivato
Set {mode},Imposta {mode}
enabled,attivo
always active,sempre attivo
pausable,sospendibile
active only when paused,attivo solo in pausa
then,poi
is in the editor,è nell'editor
"Draw line {from} to {to}, {colour}","Disegna linea {from} a {to}, {colour}"
"Draw rectangle {rect}, {colour}","Disegna rettangolo {rect}, {colour}"
"Draw circle at {at}, radius {radius}, {colour}","Disegna cerchio in {at}, raggio {radius}, {colour}"
Draw text {text} at {at},Disegna testo {text} in {at}
Redraw,Ridisegna
speed,velocità
On start of layout,All'avvio del layout
On end of layout,Alla fine del layout
On created,Alla creazione
On destroyed,Alla distruzione
On draw,Al disegno
On suspended,Alla sospensione
On resumed,Alla ripresa
On lost focus,Alla perdita del fuoco
On gained focus,All'acquisizione del fuoco
On close,Alla chiusura
On paused,Alla pausa
On unpaused,Alla ripresa dalla pausa
On notification,Alla notifica
Push back {value} to {name},Aggiungi {value} in fondo a {name}
Push front {value} to {name},Inserisci {value} in cima a {name}
Pop back of {name},Estrai l'ultimo da {name}
Pop front of {name},Estrai il primo da {name}
Clear {name},Svuota {name}
Sort {name},Ordina {name}
Shuffle {name},Mescola {name}
Reverse {name},Inverti {name}
Insert {value} at {index} in {name},Inserisci {value} in posizione {index} in {name}
Delete at {index} in {name},Elimina in posizione {index} in {name}
Delete value {value} from {name},Elimina il valore {value} da {name}
Delete key {value} from {name},Elimina la chiave {value} da {name}
Append {value} to {name},Aggiungi {value} a {name}
Call {name} (at end of frame),Chiama {name} (a fine frame)
Set {name} to {value} (at end of frame),Imposta {name} a {value} (a fine frame)
Set collision layers to {layers},Imposta i livelli di collisione a {layers}
Set collides with {layers},Collide con {layers}
Trigger once,Attiva una volta
Collapse All,Comprimi tutto
Expand All,Espandi tutto
Expand To Level 1,Espandi fino al livello 1
Expand To Level 2,Espandi fino al livello 2
Expand To Level 3,Espandi fino al livello 3
Manual,Manuale
Manual…,Manuale…
Search the Manual…,Cerca nel manuale…
Show the Manual's contents.,Mostra l'indice del manuale.
The pages you have read this session.,Le pagine lette in questa sessione.
Bookmark this page.,Aggiunge questa pagina ai segnalibri.
Back (Alt+Left).,Indietro (Alt+Sinistra).
Forward (Alt+Right).,Avanti (Alt+Destra).
Follow selection,Segui la selezione
Shows help for whatever you select on the sheet. Clicking inside the Manual pauses this until you press it again.,Mostra l'aiuto per ciò che selezioni nel foglio. Un clic dentro il manuale mette in pausa finché non lo premi di nuovo.
Following the selection.,Segue la selezione.
Not following the selection.,Non segue la selezione.
Paused following - press the pin to follow the selection again.,Inseguimento in pausa - premi lo spillo per seguire di nuovo la selezione.
Write this guide,Scrivi questa guida
"Writes the guide skeleton for this behavior from its own vocabulary, ready to fill in.","Scrive lo scheletro della guida di questo comportamento dal suo stesso vocabolario, pronto da completare."
System reference,Riferimento di sistema
Behavior reference,Riferimento dei comportamenti
Object reference,Riferimento degli oggetti
Coming from another event-sheet editor,Se arrivi da un altro editor di fogli eventi
What the marks on a sheet mean,Cosa significano i segni su un foglio
Go to first,Vai al primo
Selects the first event of this sheet that uses it.,Seleziona il primo evento di questo foglio che lo usa.
Selects the next event that uses it.,Seleziona l'evento successivo che lo usa.
See also,Vedi anche
Opens this entry.,Apre questa voce.
Add example events,Aggiungi eventi di esempio
Show GDScript,Mostra GDScript
Shows the line this row compiles to.,Mostra la riga in cui questo termine viene compilato.
Opens the guide this row is documented in.,Apre la guida in cui questo termine è documentato.
"Puts this row into the open sheet at the caret, as one undo step.","Inserisce questa riga nel foglio aperto al cursore, come un solo passo di annullamento."
"Puts the illustrated rows into the open sheet at the caret, as one undo step.","Inserisce le righe illustrate nel foglio aperto al cursore, come un solo passo di annullamento."
Nothing in the Manual mentions that,Nel manuale non se ne parla
Selected the event that uses it.,Selezionato l'evento che lo usa.
That row is not used in this sheet.,Quel termine non è usato in questo foglio.
Press F1 for the Manual's page on the marks.,Premi F1 per la pagina del manuale sui segni.
Opens the next page in this part of the Manual.,Apre la pagina successiva di questa parte del manuale.
"Press F1 with something selected for help about it, or pick a page from the Manual's contents.","Premi F1 con qualcosa selezionato per l'aiuto su di esso, oppure scegli una pagina dall'indice del manuale."
Add these events,Aggiungi questi eventi
"Puts these events into the open sheet at the caret, as one undo step.","Inserisce questi eventi nel foglio aperto al cursore, come un solo passo di annullamento."
Add a script block to the selected event - the deliberate 'drop to code' escape hatch. Opens the code editor immediately.,Aggiunge un blocco di script all'evento selezionato - l'uscita deliberata verso il codice. Apre subito l'editor di codice.
"Beginner-friendly view: hides the advanced/code entries (script blocks, sub-conditions, pick filters, signals/enums). Everything still works when off.","Vista per principianti: nasconde le voci avanzate/di codice (blocchi di script, sottocondizioni, filtri, segnali/enumerazioni). Tutto resta disponibile una volta disattivata."
"Hide the advanced/code entries (script blocks, sub-conditions, pick filters, match, signals/enums) from the right-click menus. Everything still works in Expert mode.","Nasconde le voci avanzate/di codice (blocchi di script, sottocondizioni, filtri, match, segnali/enumerazioni) dai menu contestuali. Tutto resta disponibile in modalità esperto."
Lint every ƒx expression + script block; flag the offending rows and jump to the first.,Analizza ogni espressione ƒx e blocco di script; segnala le righe problematiche e salta alla prima.
Background of the collapse triangle box on a group.,Sfondo del riquadro del triangolo di riduzione di un gruppo.
Script Block,Blocco di script
Edit the whole function…,Modifica l'intera funzione…
"The kind of value this function hands back to whoever asked - a number, some text, a true/false, a position, and so on. Pick the one that matches what the function works out.","Il tipo di valore che questa funzione restituisce a chi lo chiede: un numero, del testo, un vero/falso, una posizione e così via. Scegli quello che corrisponde a ciò che la funzione calcola."
"What this input is called. It becomes the parameter's name in the generated GDScript, and the label on the function's row, so plain words beat abbreviations.","Come si chiama questo input. Diventa il nome del parametro nel GDScript generato e l'etichetta sulla riga della funzione, quindi le parole chiare battono le abbreviazioni."
Removes the input from the function entirely. Anything already calling the function loses the value it was passing here.,Rimuove del tutto l'input dalla funzione. Tutto ciò che chiama già la funzione perde il valore che passava qui.
Lock Function Body (read-only),Blocca corpo funzione (sola lettura)
Hide this entry,Nascondi questa voce
"Minor - new actions, nothing breaks","Minore - nuove azioni, niente si rompe"
"Patch - fixes, no new actions","Patch - correzioni, nessuna nuova azione"
Rename this entry…,Rinomina questa voce…
This function is no longer on the sheet.,Questa funzione non è più nel foglio.
reads as events,si legge come eventi
1 script block,1 blocco di script
%d script blocks,%d blocchi di script
1 error,1 errore
%d errors,%d errori
the game will not run this script,il gioco non eseguirà questo script
Script block,Blocco di script
combo,combo
file,file
folder,cartella
flags,flag
node path,percorso nodo
multiline,multilinea
%s to %s,%s a %s
"%s to %s, step %s","%s a %s, passo %s"
white,bianco
black,nero
red,rosso
green,verde
blue,blu
yellow,giallo
cyan,ciano
magenta,magenta
transparent,trasparente
autoload (global),autoload (globale)
Global variables,Variabili globali
this global fires - %d,questo globale attiva - %d
On %s,Su %s
Instance variables,Variabili di istanza
Behaviors,Comportamenti
Families,Famiglie
(groups),(gruppi)
Add condition,Aggiungi condizione
Add action,Aggiungi azione
Open %s as sheet,Apri %s come foglio
Open its script as a sheet,Apri il suo script come foglio
1 listener,1 ascoltatore
%d listeners,%d ascoltatori
emitted in %s,emesso in %s
(+%d more),(+%d altri)
on this object,su questo oggetto
this object belongs to,questo oggetto appartiene a
addon pack,pacchetto addon
global,globale
All objects,Tutti gli oggetti
USED IN THIS SHEET,USATI IN QUESTO FOGLIO
ALSO IN THE SCENE,ANCHE NELLA SCENA
GLOBALS & FAMILIES,GLOBALI E FAMIGLIE
filter objects...,filtra oggetti...
drag one onto the sheet to use it,trascinane uno sul foglio per usarlo
not in %s,non è in %s
1 condition,1 condizione
%d conditions,%d condizioni
1 action,1 azione
%d actions,%d azioni
1 trigger,1 trigger
%d triggers,%d trigger
%d used,%d in uso
%d more,%d altri
"Sort by reading order, by count or by name.","Ordina per ordine di lettura, per numero o per nome."
Nothing in this sheet names an object yet.,Niente in questo foglio nomina ancora un oggetto.
This script is not on a scene yet - drop it on a node in the Scene dock and its objects appear here.,Questo script non è ancora su una scena - trascinalo su un nodo nel pannello Scena e i suoi oggetti compariranno qui.
{n} scripts,{n} script
Begin undoable action {name},Avvia azione annullabile {name}
Commit undoable action,Conferma azione annullabile
Add do step: set {object}'s {member} to {value},Aggiungi passo esegui: imposta {member} di {object} su {value}
Add undo step: set {object}'s {member} to {value},Aggiungi passo annulla: imposta {member} di {object} su {value}
Add do step: call {name},Aggiungi passo esegui: chiama {name}
Add undo step: call {name},Aggiungi passo annulla: chiama {name}
Add do step: keep {object},Aggiungi passo esegui: mantieni {object}
in the editor too,anche nell'editor
Add blank sub-event (B),Aggiungi sottoevento
Clear 'Else',Rimuovi l'Altrimenti (Else)
Clear 'Else If',Rimuovi l'Altrimenti-Se (Else-If)
Make 'And' block,Converti in blocco E
Make 'Or' block,Converti in blocco O
Add 'Else',Trasforma in Altrimenti (Else)
Add 'Else If',Trasforma in Altrimenti-Se (Else-If)
Go to event,Vai all'evento
Go to event… (Ctrl+G),Vai all'evento… (Ctrl+G)
Event number,Numero evento
event %d,evento %d
event %d of %d,evento %d di %d
line %d,riga %d
This is a read-only preview - press Edit Events to change the file.,Questa è un'anteprima di sola lettura: premi Modifica eventi per cambiare il file.
Static %s,Statico %s
shared by every %s,condiviso da ogni %s
INPUT,INGRESSO
drag one onto the sheet to start an event,trascinane una sul foglio per iniziare un evento
not in the Input Map,non è nella mappa input
unbound,non assegnato
"""%s"" is not in the Input Map","""%s"" non è nella mappa input"
this script uses 1 action,questo script usa 1 azione
this script uses %d actions,questo script usa %d azioni
Project ▸ Input Map,Progetto ▸ Mappa input
Input,Ingresso
acceleration,accelerazione
gravity,gravità
rotation rate,velocità di rotazione
magnetic field,campo magnetico
gamepad count,numero di gamepad
connected gamepads,gamepad collegati
axis {axis} of gamepad {device},asse {axis} del gamepad {device}
name of gamepad {device},nome del gamepad {device}
gamepad {device} is recognized,il gamepad {device} è riconosciuto
Is button down {action} (exact match),Pulsante {action} premuto (corrispondenza esatta)
Global,Globale
Instance,Istanza
Constant,Costante
Static,Statica
whole number,numero intero
boolean,booleano
vector,vettore
booleans,booleani
vectors,vettori
objects,oggetti
Inspector,Ispettore
of %s,di %s
shared by every copy,condivisa da ogni copia
Scope,Ambito
The row you will get,La riga che otterrai
One per object - every copy of this object keeps its own.,Una per oggetto - ogni copia di questo oggetto ha la sua.
Lives inside one event and is gone when it ends.,Vive dentro un evento e sparisce quando finisce.
Set once and never changes while the game runs.,Impostata una volta e mai cambiata mentre il gioco gira.
{value} is between {low} and {high},{value} è tra {low} e {high}
(exclusive),(esclusi)
(exclusive top),(estremo alto escluso)
(exclusive bottom),(estremo basso escluso)
{value} is between angles {low} and {high},{value} è tra gli angoli {low} e {high}
{value} is within {limit} of {target},{value} è entro {limit} da {target}
{value} is clockwise from {other},{value} è in senso orario rispetto a {other}
is within {distance} of {other},è entro {distance} da {other}
{value} is within {distance} of {other},{value} è entro {distance} da {other}
is inside area {area},è dentro l'area {area}
{value} is inside area {area},{value} è dentro l'area {area}
{value} is about {other},{value} è circa {other}
{value} is about {other} (not moving),{value} è circa {other} (fermo)
{seconds} seconds have passed since {since},sono passati {seconds} secondi da {since}
{seconds} seconds have passed since {since} (clock time),sono passati {seconds} secondi da {since} (ora di sistema)
Set {name} to now,Imposta {name} su adesso
Set {name} to now (clock time),Imposta {name} su adesso (ora di sistema)
Is outside layout,È fuori dal layout
Is on-screen,È sullo schermo
(left),(a sinistra)
(right),(a destra)
(top),(in alto)
(bottom),(in basso)
(left or right),(a sinistra o a destra)
(top or bottom),(in alto o in basso)
Is moving,Si sta muovendo
Is touching ceiling,Tocca il soffitto
Pause the game,Metti in pausa il gioco
Unpause,Riprendi
Quit game,Esci dal gioco
Yes,Sì
No,No
Skip,Salta
Start,Inizia
Carry on,Continua
Tutorials,Tutorial
What's new,Novità
Try it in a scratch sheet,Provalo in un foglio di prova
"Opens this example in a scratch tab of its own - editable, in memory, never written to your project.","Apre questo esempio in una scheda di prova dedicata - modificabile, in memoria, mai scritta nel tuo progetto."
"A scratch sheet from the Manual. It lives in memory only - nothing is written to your project unless you Save As, it closes without asking, and it is gone next session.","Un foglio di prova del Manuale. Vive solo in memoria: nulla viene scritto nel tuo progetto a meno di un Salva con nome, si chiude senza chiedere e sparisce alla prossima sessione."
Was this page helpful?,Questa pagina è stata utile?
"Thanks - noted on this machine, and sent nowhere.",Grazie - annotato su questo computer e non inviato da nessuna parte.
Noted on this machine. Report a problem opens the tracker if you want to say why.,Annotato su questo computer. Segnala un problema apre il tracker se vuoi dire perché.
Kept on this machine. Nothing is sent anywhere.,Resta su questo computer. Non viene inviato nulla da nessuna parte.
Report a problem,Segnala un problema
"Opens the project's issue tracker in your browser, with this page's name already in the title. It opens a page - it never sends one.","Apre il tracker dei problemi del progetto nel browser, con il nome di questa pagina già nel titolo. Apre una pagina - non ne invia mai una."
Smaller text in the Manual.,Testo più piccolo nel Manuale.
Larger text in the Manual.,Testo più grande nel Manuale.
This page is not translated yet - help translate it,Questa pagina non è ancora tradotta - aiuta a tradurla
Opens the page for the word this editor uses.,Apre la pagina della parola usata da questo editor.
Every word that is spelled differently here.,Tutte le parole che qui si scrivono diversamente.
"Opened a scratch sheet - in memory only, never written to your project.","Foglio di prova aperto - solo in memoria, mai scritto nel tuo progetto."
Open a sheet first - a scratch tab needs the event-sheet workspace.,Apri prima un foglio - una scheda di prova richiede lo spazio di lavoro dei fogli di eventi.
"Scratch sheet - in memory only, never written to your project unless you Save As.","Foglio di prova - solo in memoria, mai scritto nel tuo progetto a meno di un Salva con nome."
Initial value,Valore iniziale
+ Add instance variable,+ Aggiungi variabile di istanza
This object has no instance variables yet.,Questo oggetto non ha ancora variabili di istanza.
Renaming here renames every use of the variable.,Rinominare qui rinomina ogni uso della variabile.
Enter renames the variable and every use of it.,Invio rinomina la variabile e ogni suo uso.
Enter applies. One undo step.,Invio applica. Un passo di annullamento.
Editable in the Inspector (a designer property).,Modificabile nell'Ispettore (una proprietà di design).
Describe this variable,Descrivi questa variabile
Delete this variable,Elimina questa variabile
Add variable,Aggiungi variabile
Add global variable,Aggiungi variabile globale
Write into,Scrivi in
New global sheet…,Nuovo foglio globale…
A global lives on an autoload - one file the whole project can read.,Una variabile globale vive su un autoload: un file che tutto il progetto può leggere.
Global variables used here,Variabili globali usate qui
%s  (from %s),%s  (da %s)
not declared on %s,non dichiarata su %s
New action…,Nuova azione…
"Add this name to the project's Input Map, then bind it in Project ▸ Input Map.","Aggiunge questo nome alla mappa di input del progetto, poi assegnalo in Progetto ▸ Mappa di input."
"Type the name of the control first, then New action…","Scrivi prima il nome del comando, poi Nuova azione…"
"""%s"" is already in the Input Map.","""%s"" è già nella mappa di input."
"""%s"" could not be added to the Input Map.","Non è stato possibile aggiungere ""%s"" alla mappa di input."
"Added ""%s"" - bind it in Project ▸ Input Map.","""%s"" aggiunta: assegnala in Progetto ▸ Mappa di input."
One value the whole project shares - lives on an autoload.,Un valore condiviso da tutto il progetto: vive su un autoload.
"One value shared by every copy of this object, not one each.","Un valore condiviso da tutte le copie di questo oggetto, non uno ciascuna."
Set boolean,Imposta booleano
Boolean is true / is false,Il booleano è vero / è falso
"%s, with the boolean half already filled in.","%s, con la metà booleana già compilata."
On %s set,Quando %s viene impostato
Add setter,Aggiungi setter
Add getter,Aggiungi getter
This variable already has one.,Questa variabile ne ha gia uno.
Only a sheet variable can carry a setter or a getter.,Solo una variabile del foglio puo avere un setter o un getter.
Start timer {timer},Avvia timer {timer}
Start timer {timer} {mode},Avvia timer {timer} {mode}
Start timer {timer} for {seconds} seconds,Avvia timer {timer} per {seconds} secondi
Start timer {timer} for {seconds} seconds {mode},Avvia timer {timer} per {seconds} secondi {mode}
Stop timer {timer},Ferma timer {timer}
Is timer {timer} running,Il timer {timer} e in corso
Is timer {timer} stopped,Il timer {timer} e fermo
(once),(una volta)
(regular),(ripetuto)
On gamepad %s button %s pressed,Alla pressione sul gamepad %s del tasto %s
On gamepad %s button %s released,Al rilascio sul gamepad %s del tasto %s
Stop tween,Ferma il tween
Tween the next steps at the same time,I prossimi passi del tween insieme
Tween repeat forever,Ripeti il tween all'infinito
Tween repeat {count} times,Ripeti il tween {count} volte
Tween wait {seconds} seconds,Il tween attende {seconds} secondi
Tween then {action},Il tween poi {action}
⏳ Wait for tween to finish,⏳ Attendi la fine del tween
(after the previous),(dopo il precedente)
(at the same time),(nello stesso momento)
a new tween,un nuovo tween
this step,questo passo
ease = {curve},curva = {curve}
ease = {curve} in,curva = {curve} entrata
ease = {curve} out,curva = {curve} uscita
ease = {curve} in-out,curva = {curve} entrata-uscita
ease = {curve} out-in,curva = {curve} uscita-entrata
ease = in,curva = entrata
ease = out,curva = uscita
ease = in-out,curva = entrata-uscita
ease = out-in,curva = uscita-entrata
opacity,opacità
colour,colore
size,dimensione
size X,dimensione X
size Y,dimensione Y
position,posizione
Wait for tween to finish,Attendi la fine del tween
%s is not visible here,%s non è visibile qui
%s is still used here,%s è ancora usato qui
Tween {property} to {value} over {duration}s,Anima {property} a {value} in {duration}s
Run now,Esegui ora
Reload,Ricarica
Output,Output
no output yet,ancora nessun output
Enable plugin,Attiva il plugin
What this tool printed,Cosa ha stampato questo strumento
Nothing yet. Press Run now and this fills with what the tool printed.,Ancora niente. Premi Esegui ora e qui comparirà ciò che lo strumento stampa.
Editor Plugin,Plugin dell'editor
Import Tool,Strumento di importazione
Export Hook,Gancio di esportazione
"Editor Plugin (dock, menu item, object type)","Plugin dell'editor (pannello, voce di menu, tipo di oggetto)"
Import Tool (runs on import),Strumento di importazione (si avvia all'importazione)
Export Hook (runs on export),Gancio di esportazione (si avvia all'esportazione)
Run this editor tool now,Esegui ora questo strumento dell'editor
adds,aggiunge
Tools menu item,voce del menu Strumenti
Tools menu,menu Strumenti
dock,pannello
object type,tipo di oggetto
Editor Tools,Strumenti dell'editor
"Reading marks - chips, badges, guides, stripes","Segni di lettura - chip, badge, guide, strisce"
"Bars around the sheet - Object bar, status strip, tab title","Barre intorno al foglio - barra degli oggetti, striscia di stato, titolo della scheda"
Manual pages,Pagine del Manuale
"The plain chip on an Include bar button (Run now, Reload, Output), the coverage chip, and every other neutral chip in a row.","Il chip semplice su un pulsante della barra di inclusione (Esegui ora, Ricarica, Output), il chip di copertura e ogni altro chip neutro di una riga."
The word on those plain chips.,La parola su quei chip semplici.
"The chip that says where something sits in the picker (""Group › Subgroup"").","Il chip che indica dove si trova qualcosa nel selettore (""Group › Subgroup"")."
The word on the picker-category chip.,La parola sul chip di categoria del selettore.
"The ""Inspector"" chip on a variable the game's designer can edit.","Il chip ""Inspector"" su una variabile che il designer del gioco può modificare."
The word on the Inspector chip.,La parola sul chip Inspector.
The badge that says a variable is const or static.,Il badge che indica che una variabile è const o static.
The word on the const / static badge.,La parola sul badge const / static.
The dim badge on a setup strip - the ▣ and ⇥ marks that open an Include bar.,Il badge attenuato su una striscia di configurazione - i segni ▣ e ⇥ che aprono una barra di inclusione.
The glyph on a setup badge.,Il glifo su un badge di configurazione.
"The ""Script block"" pill on a row that kept its GDScript as it was written.","La pillola ""Script block"" su una riga che ha mantenuto il suo GDScript così come è stato scritto."
The words on the Script block pill.,Le parole sulla pillola Script block.
"The ""⚠ code"" badge that asks you to look at a line the sheet could not read.","Il badge ""⚠ code"" che ti invita a controllare una riga che il foglio non è riuscito a leggere."
The words on the ⚠ code badge.,Le parole sul badge ⚠ code.
"The plate behind an OR badge, when the condition lane has nothing of its own to say.","La placca dietro un badge OR, quando la corsia delle condizioni non ha nulla di suo da dire."
The word on the OR badge.,La parola sul badge OR.
"The ⟳ badge on an event that runs every tick - a tween beat, a repeating timer.","Il badge ⟳ su un evento che gira a ogni tick - un battito di tween, un timer che si ripete."
The glyph on the every-tick badge.,Il glifo sul badge di ogni tick.
The ⌨ badge on an event a key or a button starts.,Il badge ⌨ su un evento avviato da un tasto o da un pulsante.
The glyph on the input badge.,Il glifo sul badge di input.
The ▶ badge on an event that runs once.,Il badge ▶ su un evento che gira una sola volta.
The glyph on the runs-once badge.,Il glifo sul badge «una sola volta».
The main word of a row's sentence.,La parola principale della frase di una riga.
The quieter half of a sentence.,La metà più discreta di una frase.
"The muted detail after it - an Include bar's file name, an INPUT row's keys, a head bar's subtitle.","Il dettaglio attenuato che segue - il nome file di una barra di inclusione, i tasti di una riga INPUT, il sottotitolo di una barra di intestazione."
"Text values inside a parameter (""coin""), so magic words are findable by colour.","I valori di testo dentro un parametro (""coin""), così le parole chiave si trovano dal colore."
true and false inside a parameter.,true e false dentro un parametro.
"""N errors - the game will not run this script"", and the words on a broken row.","""N errori - il gioco non eseguirà questo script"", e le parole di una riga rotta."
The red stripe and wash down a row the engine cannot parse.,La striscia rossa e la velatura su una riga che il motore non riesce ad analizzare.
The stripe that pulses on an event firing right now while the game runs.,La striscia che pulsa su un evento che scatta proprio ora mentre il gioco gira.
The scrim over a row that is switched off.,Il velo su una riga disattivata.
The breakpoint dot in the event-number margin.,Il punto di interruzione nel margine dei numeri di evento.
The bookmark pennant in the event-number margin.,Il gagliardetto del segnalibro nel margine dei numeri di evento.
The hairline down the right edge of the event-number margin.,La linea sottile lungo il bordo destro del margine dei numeri di evento.
The faint stop that marks each level of indent.,Il segno tenue che marca ogni livello di rientro.
The stronger line from an event down to its sub-events - the one you follow with your eye.,La linea più marcata che scende da un evento ai suoi sotto-eventi - quella che segui con l'occhio.
The line that shows where a dragged row will land.,La linea che mostra dove finirà una riga trascinata.
The red a drop turns when it is not allowed.,Il rosso che assume un rilascio quando non è consentito.
"The bubble that says why a drop was refused (""dealt is not visible here"").","Il fumetto che spiega perché un rilascio è stato rifiutato (""dealt is not visible here"")."
The same bubble when the drop is fine.,Lo stesso fumetto quando il rilascio va bene.
The words in that bubble.,Le parole in quel fumetto.
The band behind selected text while you are editing a cell.,La banda dietro il testo selezionato mentre modifichi una cella.
The plate a chip sits on when it brought no colour of its own.,La placca su cui poggia un chip quando non porta un colore proprio.
"The outline around a colour value's swatch, so a pale colour still reads as a swatch.","Il contorno intorno al campione di un valore di colore, così anche un colore pallido si legge come campione."
"How strongly every other use of a hovered variable lights up, inside that variable's own scope.","Quanto si illuminano tutti gli altri usi di una variabile sotto il cursore, dentro l'ambito di quella variabile."
"The headings down the Object bar (SCENE, GLOBALS, INPUT) and the row count beside each entry.","Le intestazioni della barra degli oggetti (SCENE, GLOBALS, INPUT) e il conteggio di righe accanto a ogni voce."
"The ⚠ on an Object bar entry the sheet flagged - a node the scene lost, an action the Input Map does not have.","Il ⚠ su una voce della barra degli oggetti segnalata dal foglio - un nodo che la scena ha perso, un'azione che non è nella mappa input."
The wash over every row that uses the object you point at in the Object bar.,La velatura su ogni riga che usa l'oggetto indicato nella barra degli oggetti.
The grab dots on the row under the mouse.,I puntini di presa sulla riga sotto il mouse.
Those dots once the pointer is in the grab zone.,Gli stessi puntini quando il puntatore è nella zona di presa.
The message along the bottom of the dock.,Il messaggio lungo il fondo del pannello.
That message when something went wrong.,Lo stesso messaggio quando qualcosa è andato storto.
"The row address beside it (""event 12 ▸ action 2"").","L'indirizzo di riga accanto (""event 12 ▸ action 2"")."
The ● that says this sheet has edits you have not saved.,Il ● che indica che questo foglio ha modifiche non salvate.
The file path printed beside the sheet's name.,Il percorso del file mostrato accanto al nome del foglio.
"Captions, breadcrumbs and the quiet words on a Manual page. Clear = follow the editor.","Didascalie, breadcrumb e le parole discrete di una pagina del Manuale. Trasparente = segue l'editor."
"The paper behind a Manual page. Leave it clear and the Manual sits on the editor's own background, the way it ships.","La carta dietro una pagina del Manuale. Lasciala trasparente e il Manuale poggia sullo sfondo dell'editor, com'è di serie."
Headings on a Manual page. Clear = follow the editor's own text colour.,I titoli di una pagina del Manuale. Trasparente = segue il colore del testo dell'editor.
The highlight behind a search hit inside a page.,L'evidenziazione dietro un risultato di ricerca dentro una pagina.
The pill on the contents entry for the page you are reading. Clear = the editor's accent.,La pillola sulla voce dell'indice della pagina che stai leggendo. Trasparente = il colore di accento dell'editor.
The word on that pill.,La parola su quella pillola.
The note above a row its pack has deprecated.,La nota sopra una riga che il suo pacchetto ha deprecato.
The rule under a table's header row on a page.,La linea sotto la riga di intestazione di una tabella su una pagina.
The strip down the left of the sheet that carries the event numbers.,La striscia a sinistra del foglio che porta i numeri di evento.
